date,location,daily_vaccinations
2021-04-16,United States,3349306.0
2021-04-17,United States,3200601.0
2021-04-18,United States,3194240.0
2021-04-19,United States,3127038.0
2021-04-20,United States,3015065.0
2021-04-21,United States,3022868.0
2021-04-22,United States,2947229.0
2021-04-23,United States,2862758.0
2021-04-24,United States,2824078.0
2021-04-25,United States,2750656.0
2021-04-26,United States,2741021.0
2021-04-27,United States,2717062.0
2021-04-28,United States,2669644.0
2021-04-29,United States,2630407.0
2021-04-30,United States,2548207.0
2021-05-01,United States,2546144.0
2021-05-02,United States,2418580.0
2021-05-03,United States,2287393.0
2021-05-04,United States,2194483.0
2021-05-05,United States,2132487.0
2021-05-06,United States,2087608.0
2021-05-07,United States,2088522.0
2021-05-08,United States,1983391.0
2021-05-09,United States,2017931.0
2021-05-10,United States,2117025.0
2021-05-11,United States,2194787.0
2021-05-12,United States,2159146.0
2021-05-13,United States,2088962.0
2021-05-14,United States,1951333.0
2021-05-15,United States,1926448.0
2021-05-16,United States,1886917.0
2021-05-17,United States,1830360.0
2021-05-18,United States,1771807.0
2021-05-19,United States,1801333.0
2021-05-20,United States,1828681.0
2021-05-21,United States,1879526.0
2021-05-22,United States,1872697.0
2021-05-23,United States,1827882.0
2021-05-24,United States,1782714.0
2021-05-25,United States,1750524.0
2021-05-26,United States,1703162.0
2021-05-27,United States,1618194.0
2021-05-28,United States,1500632.0
2021-05-29,United States,1394832.0
2021-05-30,United States,1315466.0
2021-05-31,United States,1253664.0
2021-06-01,United States,1230767.0
2021-06-02,United States,1100084.0
2021-06-03,United States,999474.0
2021-06-04,United States,1002963.0
2021-06-05,United States,937669.0
2021-06-06,United States,958533.0
2021-06-07,United States,1026482.0
2021-06-08,United States,1074204.0
2021-06-09,United States,1120083.0
2021-06-10,United States,1138099.0
2021-06-11,United States,1055610.0
2021-06-12,United States,1120571.0
2021-06-13,United States,1097710.0
2021-06-14,United States,1113416.0
2021-06-15,United States,1137572.0
2021-06-16,United States,1165956.0
2021-06-17,United States,1325967.0
2021-06-18,United States,1362712.0
2021-06-19,United States,1286438.0
2021-06-20,United States,1234838.0
2021-06-21,United States,1132945.0
2021-06-22,United States,1048167.0
2021-06-23,United States,993840.0
2021-06-24,United States,816831.0
2021-06-25,United States,735800.0
2021-06-26,United States,715044.0
2021-06-27,United States,765846.0
2021-06-28,United States,833990.0
2021-06-29,United States,847000.0
2021-06-30,United States,949925.0
2021-07-01,United States,1066443.0
2021-07-02,United States,1087156.0
2021-07-03,United States,1121064.0
2021-07-04,United States,1039561.0
2021-07-05,United States,927847.0
2021-07-06,United States,865929.0
2021-07-07,United States,732848.0
2021-07-08,United States,599070.0
2021-07-09,United States,593848.0
2021-07-10,United States,513550.0
2021-07-11,United States,506771.0
2021-07-12,United States,527353.0
2021-07-13,United States,532556.0
2021-07-14,United States,548045.0
2021-07-15,United States,529879.0
2021-07-16,United States,519678.0
2021-07-17,United States,524863.0
2021-07-18,United States,512673.0
2021-07-19,United States,520952.0
2021-07-20,United States,507020.0
2021-07-21,United States,516441.0
2021-07-22,United States,529830.0
2021-07-23,United States,537109.0
2021-07-24,United States,542932.0
2021-07-25,United States,582659.0
2021-07-26,United States,566374.0
2021-07-27,United States,588024.0
2021-07-28,United States,608380.0
2021-07-29,United States,615404.0
2021-07-30,United States,652085.0
2021-07-31,United States,657213.0
2021-08-01,United States,662529.0
2021-08-02,United States,673185.0
2021-08-03,United States,681373.0
2021-08-04,United States,677279.0
2021-08-05,United States,699261.0
2021-08-06,United States,694138.0
2021-08-07,United States,712389.0
2021-08-08,United States,706323.0
2021-08-09,United States,715547.0
2021-08-10,United States,739114.0
2021-08-11,United States,729009.0
2021-08-12,United States,699068.0
2021-08-13,United States,712924.0
2021-08-14,United States,734520.0
2021-08-15,United States,718962.0
2021-08-16,United States,765555.0
2021-08-17,United States,763436.0
2021-08-18,United States,770613.0
2021-08-19,United States,823355.0
2021-08-20,United States,836620.0
2021-08-21,United States,845106.0
2021-08-22,United States,889158.0
2021-08-23,United States,853676.0
2021-08-24,United States,860114.0
2021-08-25,United States,891838.0
2021-08-26,United States,877756.0
2021-08-27,United States,886314.0
2021-08-28,United States,889615.0
2021-08-29,United States,886566.0
2021-08-30,United States,898446.0
2021-08-31,United States,899462.0
2021-09-01,United States,919633.0
2021-09-02,United States,906992.0
2021-09-03,United States,954046.0
2021-09-04,United States,939579.0
2021-09-05,United States,875334.0
2021-09-06,United States,848045.0
2021-09-07,United States,826193.0
2021-09-08,United States,810715.0
2021-09-09,United States,786493.0
2021-09-10,United States,721844.0
2021-09-11,United States,711899.0
2021-09-12,United States,750118.0
2021-09-13,United States,762643.0
2021-09-14,United States,779698.0
2021-09-15,United States,762809.0
2021-09-16,United States,773763.0
2021-09-17,United States,775023.0
2021-09-18,United States,777010.0
2021-09-19,United States,763444.0
2021-09-20,United States,772308.0
2021-09-21,United States,761079.0
2021-09-22,United States,742703.0
2021-09-23,United States,683329.0
2021-09-24,United States,653176.0
2021-09-25,United States,637343.0
2021-09-26,United States,646902.0
2021-09-27,United States,632435.0
2021-09-28,United States,649711.0
2021-09-29,United States,642707.0
2021-09-30,United States,726899.0
2021-10-01,United States,741394.0
2021-10-02,United States,759656.0
2021-10-03,United States,831500.0
2021-10-04,United States,893520.0
2021-10-05,United States,912752.0
2021-10-06,United States,954679.0
2021-10-07,United States,948921.0
2021-10-08,United States,987508.0
2021-10-09,United States,1018422.0
2021-10-10,United States,924325.0
2021-10-11,United States,867343.0
2021-10-12,United States,836967.0
2021-10-13,United States,813690.0
2021-10-14,United States,841731.0
2021-10-15,United States,843065.0
2021-10-16,United States,803960.0
2021-10-17,United States,837265.0
2021-10-18,United States,829568.0
2021-10-19,United States,837452.0
2021-10-20,United States,831213.0
2021-10-21,United States,795156.0
2021-10-22,United States,770307.0
2021-10-23,United States,772744.0
2021-10-24,United States,768503.0
2021-10-25,United States,786321.0
2021-10-26,United States,796148.0
2021-10-27,United States,879790.0
2021-10-28,United States,953409.0
2021-10-29,United States,1008247.0
2021-10-30,United States,1114502.0
2021-10-31,United States,1203517.0
2021-11-01,United States,1243313.0
2021-11-02,United States,1275824.0
2021-11-03,United States,1274937.0
2021-11-04,United States,1291940.0
2021-11-05,United States,1283684.0
2021-11-06,United States,1254975.0
2021-11-07,United States,1265361.0
2021-11-08,United States,1300925.0
2021-11-09,United States,1316228.0
2021-11-10,United States,1316294.0
2021-11-11,United States,1313050.0
2021-11-12,United States,1335066.0
2021-11-13,United States,1370279.0
2021-11-14,United States,1375998.0
2021-11-15,United States,1413343.0
2021-11-16,United States,1459687.0
2021-11-17,United States,1471757.0
2021-11-18,United States,1475842.0
2021-11-19,United States,1543415.0
2021-11-20,United States,1465531.0
2021-11-21,United States,1410119.0
2021-11-22,United States,1366065.0
2021-11-23,United States,1332969.0
2021-11-24,United States,1379793.0
2021-11-25,United States,1307829.0
2021-11-26,United States,1172379.0
2021-11-27,United States,1146685.0
2021-11-28,United States,1120991.0
2021-11-29,United States,1095297.0
2021-11-30,United States,1152647.0
2021-12-01,United States,1116587.0
2021-12-02,United States,1291490.0
2021-12-03,United States,1426510.0
2021-12-04,United States,1599545.0
2021-12-05,United States,1717209.0
2021-12-06,United States,1780807.0
2021-12-07,United States,1781389.0
2021-12-08,United States,1923508.0
2021-12-09,United States,1855455.0
2021-12-10,United States,2031377.0
2021-12-11,United States,2025598.0
2021-12-12,United States,1984721.0
2021-12-13,United States,1951329.0
2021-12-14,United States,1904464.0
2021-12-15,United States,1795384.0
2021-12-16,United States,1799583.0
2021-12-17,United States,1617840.0
2021-12-18,United States,1509610.0
2021-12-19,United States,1491849.0
2021-12-20,United States,1520669.0
2021-12-21,United States,1542936.0
2021-12-22,United States,1500370.0
2021-12-23,United States,1455926.0
2021-12-24,United States,1306324.0
2021-12-25,United States,1226894.0
2021-12-26,United States,1147464.0
2021-12-27,United States,1068034.0
2021-12-28,United States,1091279.0
2021-12-29,United States,1073608.0
2021-12-30,United States,1062236.0
2021-12-31,United States,1088925.0
2022-01-01,United States,1115614.0
2022-01-02,United States,1142302.0
2022-01-03,United States,1168991.0
2022-01-04,United States,1093005.0
2022-01-05,United States,1075148.0
2022-01-06,United States,1072127.0
2022-01-07,United States,1133950.0
2022-01-08,United States,1194381.0
2022-01-09,United States,1239032.0
2022-01-10,United States,1214642.0
2022-01-11,United States,1213113.0
2022-01-12,United States,1234672.0
2022-01-13,United States,1291013.0
2022-01-14,United States,1286773.0
2022-01-15,United States,1268202.0
2022-01-16,United States,1193256.0
2022-01-17,United States,1187351.0
2022-01-18,United States,1158584.0
2022-01-19,United States,1081937.0
2022-01-20,United States,949374.0
2022-01-21,United States,861495.0
2022-01-22,United States,789339.0
2022-01-23,United States,789339.0
2022-01-24,United States,789339.0
2022-01-25,United States,789339.0
2022-01-26,United States,789339.0
2022-01-27,United States,789339.0
2022-01-28,United States,800563.0
2022-01-29,United States,808854.0
2022-01-30,United States,802333.0
2022-01-31,United States,762052.0
2022-02-01,United States,732693.0
2022-02-02,United States,721227.0
2022-02-03,United States,719986.0
2022-02-04,United States,680135.0
2022-02-05,United States,655591.0
2022-02-06,United States,627161.0
2022-02-07,United States,611742.0
2022-02-08,United States,602606.0
2022-02-09,United States,591786.0
2022-02-10,United States,580896.0
2022-02-11,United States,568820.0
2022-02-12,United States,564185.0
2022-02-13,United States,555669.0
2022-02-14,United States,546667.0
2022-02-15,United States,544184.0
2022-02-16,United States,516988.0
2022-02-17,United States,493892.0
2022-02-18,United States,491120.0
2022-02-19,United States,473537.0
2022-02-20,United States,451170.0
2022-02-21,United States,450035.0
2022-02-22,United States,425178.0
2022-02-23,United States,425810.0
2022-02-24,United States,394902.0
2022-02-25,United States,372242.0
2022-02-26,United States,369644.0
2022-02-27,United States,362171.0
2022-02-28,United States,354698.0
2022-03-01,United States,350449.0
2022-03-02,United States,343741.0
2022-03-03,United States,352865.0
2022-03-04,United States,358163.0
2022-03-05,United States,334473.0
2022-03-06,United States,329891.0
2022-03-07,United States,321851.0
2022-03-08,United States,316767.0
2022-03-09,United States,302787.0
2022-03-10,United States,282724.0
2022-03-11,United States,266488.0
2022-03-12,United States,272767.0
2022-03-13,United States,266820.0
2022-03-14,United States,257979.0
2022-03-15,United States,258884.0
2022-03-16,United States,249521.0
2022-03-17,United States,250726.0
2022-03-18,United States,246212.0
2022-03-19,United States,210799.0
2022-03-20,United States,200743.0
2022-03-21,United States,197039.0
2022-03-22,United States,177410.0
2022-03-23,United States,181945.0
2022-03-24,United States,191334.0
2022-03-25,United States,187894.0
2022-03-26,United States,207510.0
2022-03-27,United States,212621.0
2022-03-28,United States,208458.0
2022-03-29,United States,218903.0
2022-03-30,United States,214405.0
2022-03-31,United States,225928.0
2022-04-01,United States,248189.0
2022-04-02,United States,279143.0
2022-04-03,United States,315943.0
2022-04-04,United States,351244.0
2022-04-05,United States,393374.0
2022-04-06,United States,424670.0
2022-04-07,United States,453623.0
2022-04-08,United States,485505.0
2022-04-09,United States,500371.0
2022-04-10,United States,501824.0
2022-04-11,United States,501519.0
2022-04-12,United States,513808.0
2022-04-13,United States,542444.0
2022-04-14,United States,536049.0
2022-04-15,United States,534538.0
2022-04-16,United States,527660.0
2022-04-17,United States,542852.0
2022-04-18,United States,528138.0
2022-04-19,United States,511387.0
2022-04-20,United States,470903.0
2022-04-21,United States,492922.0
2022-04-22,United States,482680.0
2022-04-23,United States,475376.0
2022-04-24,United States,456767.0
2022-04-25,United States,455251.0
2022-04-26,United States,495853.0
2022-04-27,United States,535362.0
2022-04-28,United States,506203.0
2022-04-29,United States,509305.0
2022-04-30,United States,511730.0
